epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,6158.61,0.01003,1.40761,1.44187,0.608,0.59467,0.54165,0.29589,0.01185,1.87841,1.85006,0.000679204,0.000679204,0.000679204
55,6272.79,0.00998,1.3594,1.42754,0.57227,0.59378,0.55869,0.29758,0.01201,1.85952,1.86225,0.000665057,0.000665057,0.000665057
56,6386.33,0.0099,1.3547,1.42466,0.56645,0.60423,0.5446,0.30081,0.01196,1.82633,1.83593,0.000650909,0.000650909,0.000650909
57,6500.18,0.00976,1.33166,1.41426,0.61245,0.57345,0.55817,0.31343,0.01164,1.848,1.82357,0.000636762,0.000636762,0.000636762
58,6614,0.00974,1.32007,1.40881,0.52497,0.62732,0.54539,0.30005,0.01212,1.89922,1.8768,0.000622615,0.000622615,0.000622615
59,6727.87,0.00971,1.32131,1.3931,0.56549,0.60697,0.55091,0.31189,0.01194,1.81603,1.85521,0.000608468,0.000608468,0.000608468
60,6841.62,0.00962,1.30424,1.37922,0.59616,0.63737,0.58487,0.32131,0.01227,1.77825,1.90468,0.000594321,0.000594321,0.000594321
61,6955.95,0.00955,1.31292,1.39466,0.64404,0.58707,0.57925,0.3197,0.01223,1.79873,1.88237,0.000580174,0.000580174,0.000580174
62,7069.32,0.00955,1.2752,1.37843,0.61493,0.58457,0.57654,0.31727,0.01194,1.93202,1.86341,0.000566027,0.000566027,0.000566027
63,7183.28,0.00952,1.25418,1.37031,0.59631,0.60008,0.59396,0.33345,0.0119,1.75352,1.84257,0.00055188,0.00055188,0.00055188
64,7297.94,0.00942,1.25033,1.36776,0.60426,0.61975,0.59076,0.34017,0.01171,1.72246,1.83371,0.000537733,0.000537733,0.000537733
65,7412.36,0.00932,1.27254,1.38342,0.63926,0.6144,0.6027,0.33626,0.0116,1.69711,1.81336,0.000523586,0.000523586,0.000523586
66,7526.08,0.00948,1.24468,1.38831,0.62902,0.59027,0.58859,0.33131,0.01176,1.80348,1.86442,0.000509438,0.000509438,0.000509438
67,7639.16,0.00929,1.22723,1.37039,0.62303,0.61264,0.58808,0.33224,0.01169,1.81288,1.84278,0.000495291,0.000495291,0.000495291
68,7752.57,0.00927,1.21559,1.35686,0.60153,0.62081,0.5882,0.33792,0.01191,1.73423,1.87392,0.000481144,0.000481144,0.000481144
69,7866.36,0.00934,1.20724,1.36397,0.59174,0.60932,0.58667,0.33536,0.01187,1.77546,1.86465,0.000466997,0.000466997,0.000466997
70,7979.6,0.00925,1.22327,1.37198,0.62761,0.57137,0.57858,0.32459,0.01168,1.79177,1.84568,0.00045285,0.00045285,0.00045285
71,8092.92,0.00905,1.17939,1.33984,0.62988,0.60294,0.58137,0.33536,0.01168,1.73392,1.86412,0.000438703,0.000438703,0.000438703
72,8206.26,0.00928,1.21346,1.36746,0.60492,0.59846,0.58166,0.33207,0.01179,1.79242,1.85345,0.000424556,0.000424556,0.000424556
73,8319.63,0.0092,1.20375,1.34773,0.62199,0.6327,0.59613,0.34558,0.01172,1.86244,1.86231,0.000410409,0.000410409,0.000410409
74,8438.42,0.00922,1.19205,1.37018,0.61714,0.65715,0.60965,0.35051,0.01154,1.77913,1.84556,0.000396262,0.000396262,0.000396262
75,8555.9,0.00917,1.18615,1.3559,0.61434,0.63242,0.57977,0.3348,0.01181,1.784,1.86804,0.000382115,0.000382115,0.000382115
76,8670.58,0.00894,1.15119,1.34329,0.60703,0.62541,0.57516,0.33453,0.01182,1.7388,1.87006,0.000367967,0.000367967,0.000367967
77,8788.23,0.00889,1.12807,1.32966,0.64967,0.58235,0.5847,0.33759,0.01186,1.75845,1.87007,0.00035382,0.00035382,0.00035382
78,8903.08,0.0089,1.1243,1.31534,0.63273,0.61238,0.59922,0.35222,0.01172,1.692,1.83946,0.000339673,0.000339673,0.000339673
79,9016.57,0.00888,1.12427,1.32754,0.64834,0.61864,0.60462,0.35311,0.01143,1.71435,1.83536,0.000325526,0.000325526,0.000325526
80,9132.22,0.00893,1.13271,1.32795,0.68109,0.60801,0.62346,0.35866,0.01143,1.71097,1.83129,0.000311379,0.000311379,0.000311379
81,9245.38,0.00888,1.09886,1.32285,0.64123,0.62428,0.60096,0.35412,0.01165,1.74152,1.8707,0.000297232,0.000297232,0.000297232
82,9358.09,0.0088,1.08661,1.31208,0.64264,0.62337,0.61911,0.35924,0.01159,1.68528,1.85765,0.000283085,0.000283085,0.000283085
83,9471.66,0.00871,1.10872,1.30832,0.68873,0.61279,0.61609,0.36628,0.01163,1.73104,1.87514,0.000268938,0.000268938,0.000268938
84,9585.27,0.00865,1.09837,1.30856,0.62494,0.6268,0.59432,0.35468,0.01148,1.7406,1.86327,0.000254791,0.000254791,0.000254791
85,9698.14,0.00864,1.07691,1.30433,0.66295,0.62399,0.61319,0.3664,0.01136,1.7251,1.84568,0.000240644,0.000240644,0.000240644
86,9810.65,0.00859,1.07263,1.30812,0.60696,0.64595,0.62514,0.37371,0.01152,1.75936,1.8758,0.000226497,0.000226497,0.000226497
87,9924.19,0.0087,1.06584,1.31302,0.60528,0.67788,0.62551,0.36616,0.01165,1.71567,1.89603,0.000212349,0.000212349,0.000212349
88,10036.9,0.00851,1.04312,1.28465,0.65723,0.6575,0.64419,0.3771,0.01164,1.67329,1.8825,0.000198202,0.000198202,0.000198202
89,10149.9,0.00849,1.04711,1.28804,0.68547,0.63335,0.63747,0.37209,0.01177,1.66315,1.91011,0.000184055,0.000184055,0.000184055
90,10263.1,0.00843,1.05726,1.28788,0.6931,0.61156,0.64046,0.3786,0.01159,1.64381,1.87438,0.000169908,0.000169908,0.000169908
91,10367.3,0.00746,0.81789,1.20839,0.65063,0.64556,0.62489,0.37852,0.01158,1.64094,1.89031,0.000155761,0.000155761,0.000155761
92,10470.9,0.00711,0.75895,1.16963,0.65047,0.65238,0.64135,0.38321,0.01156,1.64564,1.88746,0.000141614,0.000141614,0.000141614
93,10574.8,0.00712,0.76333,1.18926,0.68368,0.62696,0.64849,0.39001,0.01162,1.64771,1.90191,0.000127467,0.000127467,0.000127467
94,10678.9,0.00684,0.72606,1.15665,0.64204,0.66023,0.641,0.38472,0.01155,1.6355,1.91192,0.00011332,0.00011332,0.00011332
95,10782.4,0.00689,0.72078,1.15765,0.66706,0.62744,0.62414,0.37172,0.01156,1.68592,1.9086,9.91726e-05,9.91726e-05,9.91726e-05
96,10886.2,0.00673,0.69385,1.14306,0.66988,0.64339,0.64186,0.38399,0.01153,1.63197,1.93413,8.50255e-05,8.50255e-05,8.50255e-05
97,10989.8,0.00673,0.70487,1.15185,0.68488,0.63105,0.64615,0.38567,0.01148,1.6302,1.91616,7.08784e-05,7.08784e-05,7.08784e-05
98,11093.6,0.00665,0.68286,1.13104,0.65157,0.67471,0.65473,0.38876,0.01151,1.61622,1.92146,5.67313e-05,5.67313e-05,5.67313e-05
99,11197.2,0.0066,0.67258,1.1295,0.64932,0.67773,0.65709,0.39506,0.01164,1.63381,1.9384,4.25842e-05,4.25842e-05,4.25842e-05
100,11301.2,0.00657,0.68489,1.13678,0.64476,0.6633,0.64986,0.39106,0.01158,1.63548,1.94025,2.84371e-05,2.84371e-05,2.84371e-05
